tx_id,customer_id,home_country,amount,country,ip_country,channel,merchant_category,previous_balance,new_balance,timestamp,is_suspicious,reason,risk_score,timestamp_dt,hour,risk_label
161,1000,BR,5242.75,NG,BR,APP,LUJOS,17489.95,12247.2,2025-12-04 10:56:08,True,País de alto riesgo; ,25,2025-12-04 10:56:08,10,LOW
667,1000,BR,80.85,ES,DE,SUCURSAL,RESTAURANTE,1993.58,1912.73,2025-12-04 13:54:08,True,IP y tarjeta en países distintos; ,20,2025-12-04 13:54:08,13,LOW
1357,1000,BR,9.81,RU,RU,CAJERO,SUSCRIPCION_STREAMING,18784.67,18774.86,2025-12-04 16:26:08,True,País de alto riesgo; IP y tarjeta en países distintos; ,45,2025-12-04 16:26:08,16,MEDIUM
1179,1000,BR,179.95,US,MX,POS,RESTAURANTE,3141.06,2961.11,2025-12-04 23:47:08,True,IP y tarjeta en países distintos; ,20,2025-12-04 23:47:08,23,LOW
1080,1000,BR,78.05,PY,AR,SUCURSAL,SUPERMERCADO,278.89,200.84,2025-12-05 03:26:08,True,IP y tarjeta en países distintos; ,20,2025-12-05 03:26:08,3,LOW
508,1000,BR,112.47,CN,PY,POS,RESTAURANTE,13204.57,13092.1,2025-12-05 11:45:08,True,País de alto riesgo; IP y tarjeta en países distintos; ,45,2025-12-05 11:45:08,11,MEDIUM
1260,1000,BR,22.79,CN,BR,POS,SUSCRIPCION_STREAMING,7162.69,7139.9,2025-12-05 21:33:08,True,País de alto riesgo; ,25,2025-12-05 21:33:08,21,LOW
628,1000,BR,903.85,NG,BR,POS,ELECTRONICA,17995.12,17091.27,2025-12-05 22:46:08,True,País de alto riesgo; ,25,2025-12-05 22:46:08,22,LOW
885,1000,BR,3542.68,BR,PY,CAJERO,LUJOS,768.98,0.0,2025-12-06 10:38:08,True,Vaciado de cuenta; ,20,2025-12-06 10:38:08,10,LOW
974,1000,BR,1801.47,US,US,CAJERO,ELECTRONICA,6672.3,4870.83,2025-12-06 21:37:08,True,IP y tarjeta en países distintos; ,20,2025-12-06 21:37:08,21,LOW
1327,1000,BR,281.08,MX,CN,WEB,CRIPTO_EXCHANGE,9924.01,9642.93,2025-12-07 15:41:08,True,IP y tarjeta en países distintos; ,20,2025-12-07 15:41:08,15,LOW
274,1000,BR,16.32,RU,US,CAJERO,SUSCRIPCION_STREAMING,1584.19,1567.87,2025-12-07 18:12:08,True,País de alto riesgo; IP y tarjeta en países distintos; ,45,2025-12-07 18:12:08,18,MEDIUM
1170,1000,BR,1442.03,DE,PY,WEB,LUJOS,12036.59,10594.56,2025-12-07 22:41:08,True,IP y tarjeta en países distintos; ,20,2025-12-07 22:41:08,22,LOW
